Real Betis Balompié,Manuel Pellegrini,Antonio Cordon
Elche CF,Francisco Rodríguez,Diego García
Deportivo Alaves,Luis García Plaza,Josean Querejeta
Cádiz CF,Sergio González,Manuel Vizcaíno
Real Valladolid CF,Pacheta,Ronaldo Nazário
RCD Espanyol de Barcelona,Diego Martínez,Mao Ye
Valencia CF,Gennaro Gattuso,Peter Lim
RC Celta de Vigo,Eduardo Coudet,Felipe Miñambres
FC Barcelona,Xavi Hernández,Mateu Alemany
CA Osasuna,Jagoba Arrasate,Braulio Vázquez
Real Sociedad,Imanol Alguacil,Roberto Olabe
Villarreal CF,Unai Emery,Fernando Roig
Sevilla FC,Jorge Sampaoli,José María Cruz
Rayo Vallecano de Madrid,Andoni Iraola,David Cobeño
RCD Mallorca,Javier Aguirre,Pablo Ortells
UD Almeria,Joan Francesc Ferrer,Turki Al-Sheikh
Getafe CF,Quique Sánchez Flores,Ángel Torres
Athletic Club,Ernesto Valverde,Jon Uriarte
Atlético de Madrid,Diego Simeone,Miguel Ángel Gil Marín
Real Madrid,Carlo Ancelotti,José Ángel Sánchez
